# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_intron_variant	variants_effect_upstream_gene_variant
BIN1	ENSG00000136717	ENST00000357970^IP_089894	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000357970^IP_089895	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000376113@ENSP00000365281	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000376113^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000376113^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000376113^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000376113^IP_089899	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393040@ENSP00000376760	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393040^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393040^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393040^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393040^IP_089886	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393041@ENSP00000376761	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393041^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393041^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393041^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000393041^IP_089884	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000409400@ENSP00000386797	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000409400^IP_089878	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000409400^IP_089879	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000409400^IP_089880	protein_coding	4	3	1
BIN1	ENSG00000136717	ENST00000409400^IP_089882	protein_coding	4	3	1
INPP5D	ENSG00000168918	ENST00000359570@ENSP00000352575	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000359570^IP_096769	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000359570^IP_096771	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000359570^IP_096772	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000359570^IP_096773	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000359570^IP_096774	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000359570^IP_640739	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000445964@ENSP00000405338	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000445964^IP_096769	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000445964^IP_096771	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000445964^IP_096772	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000445964^IP_096773	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000445964^IP_096774	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407	retained_intron	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^II_640732	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_096772	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_640728	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_640729	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_640730	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_640731	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_640733	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000451407^IP_640734	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000467393	processed_transcript	1	1	0
INPP5D	ENSG00000168918	ENST00000467393^IP_640727	protein_coding	1	1	0
INPP5D	ENSG00000168918	ENST00000474278	processed_transcript	1	0	1
